Data_Category,Variable,Coverage_Years,Extracted_Status,Records_in_CSV,Database_Name,Access_URL,Notes
Privatization_Transactions,Transaction_details,1979-2021,Fully_Extracted,33,Primary_sources_various,Multiple,"See privatization_transactions.csv - all from primary sources"
Production_Time_Series,Annual_production,1969-2025,Partial_Datapoints,30,BP_Statistical_Review,https://www.bp.com/statisticalreview,"I extracted SPECIFIC years found in sources, NOT complete annual series"
Production_Time_Series,Annual_production,1970-2024,NOT_Extracted,0,EIA_International_Energy,https://www.eia.gov/international/data/world,"Complete series available here - requires direct download"
Financial_Time_Series,Revenue_NetIncome,2022-2025,Partial_Recent,13,Company_Annual_Reports,Various,"Only recent years from investor relations - historical requires manual extraction"
Financial_Time_Series,Revenue_NetIncome,1990-2024,NOT_Extracted,0,SEC_EDGAR,https://www.sec.gov/edgar,"For YPF, Petrobras, Chinese NOCs - full 20-F/40-F series available"
Governance_WGI,Six_dimensions,1996-2024,NOT_Extracted,0,World_Bank_WGI,https://databank.worldbank.org/source/worldwide-governance-indicators,"Country-year panel available - requires database query for all 33 countries"
Governance_Polity,POLITY2_score,1800-2018,NOT_Extracted,0,Polity5_Project,https://www.systemicpeace.org/polityproject.html,"NO UPDATES AFTER 2018 - dataset discontinued"
Governance_FreedomHouse,Political_Rights_Civil_Liberties,1972-2024,NOT_Extracted,0,Freedom_House,https://freedomhouse.org/report/freedom-world,"Annual reports - requires manual extraction for each country-year"
Corruption_CPI,CPI_score,1995-2024,NOT_Extracted,0,Transparency_International,https://www.transparency.org/en/cpi,"WARNING: Scale changed 0-10 to 0-100 in 2012"
Economic_WDI,GDP_Inflation_FDI_etc,1960-2024,NOT_Extracted,0,World_Bank_WDI,https://databank.worldbank.org/source/world-development-indicators,"Multiple indicators available - requires database query"
Commodity_Prices,Brent_WTI_Copper_Gold,1960-2024,Spot_Values_Only,0,World_Bank_Pink_Sheet,https://www.worldbank.org/en/research/commodity-markets,"Monthly/annual series available in Excel - I only cited 2022-2023 values"
Reversals_Compensation,ICSID_awards,1990-2024,Fully_Extracted,7,ICSID_Database,https://icsid.worldbank.org/cases/case-database,"All major awards extracted - see reversals_renationalizations.csv"
Employment,Annual_employment,1990-2024,NOT_Available,0,Not_systematically_reported,,"Rarely disclosed except in specific investor presentations"
Reserves,Proven_reserves,1990-2024,NOT_Available,0,Company_disclosures_only,,"Not systematically available except company-specific reports"
CAPEX,Annual_capital_expenditure,1990-2024,NOT_Available,0,Company_annual_reports,,"Would require manual extraction from each company's annual reports"
