Database,Variable_Needed,Countries_List,Years_Needed,Extraction_Method,Output_Format,Estimated_Records
World_Bank_WGI,"WGI_VA, WGI_PS, WGI_GE, WGI_RQ, WGI_RL, WGI_CC","UK,Austria,France,Italy,Spain,Norway,Hungary,Poland,Romania,Russia,Kazakhstan,Argentina,Brazil,Bolivia,Venezuela,Ecuador,Mexico,Peru,China,India,Zambia,Ghana,Saudi Arabia,Nigeria,Algeria,Kuwait,Canada",1996-2024,"DataBank query builder: select countries, select all 6 WGI indicators, select years, download CSV",Country-Year panel,~33 countries × 29 years × 6 indicators = 5742 rows
World_Bank_WDI,"NY.GDP.MKTP.CD, NY.GDP.PCAP.CD, NY.GDP.MKTP.KD.ZG, FP.CPI.TOTL.ZG, BX.KLT.DINV.CD.WD, NY.GDP.PETR.RT.ZS",Same_as_above,1970-2024,"DataBank query: select countries, select indicator codes, download",Country-Year panel,~33 countries × 55 years = 1815 rows
EIA_International,"Total oil production, Total gas production, Oil consumption",Same_as_above,1980-2024,"Navigate to country pages, download data files, compile",Country-Year panel,~33 countries × 45 years = 1485 rows
BP_Statistical_Review,"Oil production, Gas production, Oil consumption, Refinery capacity",Same_as_above,1965-2024,Download annual Excel workbook from archive,Country-Year panel,Available in single Excel file
SEC_EDGAR_20F,"Revenue, Net Income, Total Assets, Long-term Debt, Cash Flow","YPF (Ticker: YPF), Petrobras (PBR), PetroChina (PTR), Sinopec (SNP), CNOOC (CEO)",1993-2024 (varies by company),"EDGAR search by ticker, download all 20-F filings, extract financial tables",Company-Year,~5 companies × 20-30 years = 100-150 filings
Freedom_House,"Political Rights score, Civil Liberties score, Status (Free/Partly/Not)",Same_as_WGI,1990-2024,"Download annual Excel reports, compile country scores",Country-Year panel,~33 countries × 35 years = 1155 rows
Transparency_CPI,Corruption Perceptions Index score,Same_as_WGI,1995-2024,"Download annual reports, NOTE SCALE CHANGE in 2012",Country-Year panel,~33 countries × 30 years = 990 rows (some missing early years)
World_Bank_Commodity_Prices,"Brent, WTI, Natural Gas, Copper, Gold, Zinc",Not country-specific - global prices,1960-2024,Download Pink Sheet monthly data Excel file,Monthly series,Single Excel file with all commodities
ICSID_Case_Database,"Case details, Awards, Enforcement status","Filter by: Oil & Gas, Mining & Metals sectors + countries above",1990-2024,"Search database online, download case PDFs for details",Case-level,~50-100 relevant cases
Polity5,POLITY2 democracy score,Same_as_WGI,1980-2018 (NO DATA AFTER 2018),Download master dataset (Excel/SPSS/Stata),Country-Year panel,Dataset discontinued - use 2018 as final year
