Country,Company,Transaction_Type,Date,Percent_Sold,Price_Per_Share,Currency,Gross_Proceeds_Millions,Currency_Proceeds,Buyer_Type,Method,Source
UK,BNOC/Britoil,IPO_Tranche_1,1982-11,51,215,GBP,548,GBP,Public,Tender_Offer,"UK Parliament Hansard, 22 Nov 1982"
UK,BNOC/Britoil,IPO_Tranche_2,1985-11,49,,,434,GBP,Public,Public_Offer,"Wikipedia: Britoil"
UK,BP,Share_Sale,1987-10-30,31.5,330,GBP,7017,GBP,Public,Public_Offer,"UK Parliament Hansard, 3 Nov 1987"
Austria,OMV,IPO,1987-12-03,15,4400,ATS,,ATS,Public,IPO,"OMV Shareholder Structure, omv.com"
Austria,OMV,Secondary,1989,10,8240,ATS,,ATS,Public,Secondary_Offering,"OMV Shareholder Structure"
Austria,OMV,Trade_Sale,1994,13,,,,,Strategic,Trade_Sale_IPIC,"OMV Shareholder Structure"
Canada,Petro-Canada,IPO,1991-07-03,,13,CAD,540,CAD,Public,IPO,"Globe and Mail, Jul 1991"
Canada,Petro-Canada,Secondary,1992,,8.25,CAD,250,CAD,Public,Secondary,"Globe and Mail"
Canada,Petro-Canada,Secondary,1995,,14.62,CAD,1725,CAD,Public,Secondary,"Oil & Gas Journal"
Canada,Petro-Canada,Final_Sale,2004-09-29,,64.50,CAD,3185,CAD,Public,Final_Divestment,"Lexpert, 2004"
Argentina,YPF,IPO,1993-07,45,19,USD,3000,USD,Public,Global_IPO,"SEC EDGAR; Chicago Tribune Jun 29 1993"
Argentina,YPF,Acquisition,1999-06-23,97.81,44.78,USD,15000,USD,Foreign,Tender_Repsol,"SEC EDGAR Schedule 13D/A; Stanford GSB"
Spain,Repsol,IPO,1989-05,26,,,1000,USD,Public,IPO,"Encyclopedia.com; Repsol.com"
Norway,Statoil,IPO,2001-06-18,17.5,69,NOK,26400,NOK,Public,Dual_NYSE_Oslo,"Equinor.com; Carnegie Group"
Hungary,MOL,IPO,1995,,,,,HUF,Public,IPO,"IMF eLibrary"
Poland,PKN_Orlen,IPO,1999-11-26,30,,,,,Public,IPO,"ORLEN Integrated Report 2022"
Romania,Petrom,Trade_Sale,2004-12-14,51,,,1500,EUR,Foreign_OMV,Trade_Sale_Plus_CapEx,"OMV Petrom press release Dec 2004"
Russia,Yukos,Auction,1995-12-08,45,,,159,USD,Domestic_Oligarch,Loans_for_Shares,"Treisman NBER WP15819"
Russia,Sibneft,Auction,1995-12,51,,,100.3,USD,Domestic_Oligarch,Loans_for_Shares,"Wikipedia Gazprom Neft"
Bolivia,YPFB,Capitalization,1996-12,50,,,835,USD,Foreign_Consortium,Capitalization,"Oil & Gas Journal Oct 23 1996"
Brazil,Petrobras,Monopoly_Break,1997-08-06,0,,,0,,Regulatory,Sector_Opening,"IEA Law 9478"
Venezuela,PDVSA,Apertura,1992-1996,0,,,0,,Foreign_JVs,Operating_Agreements,"Wikipedia PDVSA; Transparencia Venezuela"
Mexico,PEMEX,Constitutional_Reform,2013-12-20,0,,,0,,Regulatory,Sector_Opening,"Lexology; ScienceDirect"
Peru,Centromin,Trade_Sale,1997-10-23,100,,,247,USD,Foreign_Renco,Asset_Sale,"PCA Case Files; Wikipedia La Oroya"
China,PetroChina,IPO,2000-04-06,10,,,2900,USD,Public,Dual_NYSE_HK,"Goldman Sachs Corporate History"
China,Sinopec,IPO,2000-10,,,,,3500,USD,Public,Triple_Listing,"Wikipedia Sinopec"
China,CNOOC,IPO,2001-02-27,27.5,,,1000,USD,Public,Dual_NYSE_HK,"SEC 20-F; CRS Report RL33093"
India,Hindustan_Zinc,Trade_Sale,2002-04,46,,,102,USD,Foreign_Vedanta,Divestment,"Wikipedia; ThePrint"
India,Coal_India,IPO,2010-11-04,10,245,INR,151994,INR,Public,IPO,"Bloomberg; Business Standard"
Zambia,ZCCM,Unbundled_Sales,1997-2000,100,,,627,USD,Foreign_Miners,Trade_Sales_Multiple,"USGS Minerals Yearbook 2000"
Ghana,Ashanti,IPO,1994-04,20-25,20,USD,454,USD,Public,London_IPO,"Encyclopedia.com; Wikipedia"
Saudi_Arabia,Saudi_Aramco,IPO,2019-12-11,1.5,32,SAR,25600,USD,Public_Domestic,Tadawul_Only,"Aramco; CNBC; Argaam"
Nigeria,NNPC,Incorporation,2021-09-21,0,,,0,,State,Corporatization,"ThisDayLive; Aluko & Oyebode"
