Country,Company,Year,Production_Value,Production_Unit,Metric,Source
UK,North_Sea,1999,2650000,barrels_per_day,Peak_Production,"CEIC Data; Wikipedia UK Oil"
UK,North_Sea,2014,1420000,BOE_per_day,Production,"Wikipedia UK Oil"
Argentina,YPF,2007,256800,barrels_per_day,Oil_Production,"YPF Investor Presentation Q1 2017"
Argentina,YPF,2011,222600,barrels_per_day,Oil_Production,"YPF Investor Presentation Q1 2017"
Argentina,YPF,2012,227400,barrels_per_day,Oil_Production,"YPF Investor Presentation Q1 2017"
Argentina,YPF,2014,244600,barrels_per_day,Oil_Production,"YPF Investor Presentation Q1 2017"
Argentina,Total,2012,583000,barrels_per_day,Country_Total,"World Bank"
Argentina,Total,2025,817000,barrels_per_day,Country_Total,"Trading Economics"
Brazil,Total,1997,1000000,barrels_per_day,Country_Total,"Britannica"
Brazil,Total,2003,2000000,BOE_per_day,Country_Total,"Wikipedia Petrobras"
Brazil,Petrobras,2020,2270000,barrels_per_day,Company_Production,"Statista"
Brazil,Total,2024,4322000,BOE_per_day,Country_Total,"Brazil Energy Insight"
Russia,Yukos,1996,500000,barrels_per_day,Company_Estimate,"Khodorkovsky.com"
Russia,Total,1996,6008000,barrels_per_day,Country_Total,"TheGlobalEconomy.com"
Russia,Yukos,2003,1700000,barrels_per_day,Company_Production,"Wikipedia Yukos"
Russia,Total,2004,9000000,barrels_per_day,Country_Estimate,"PIIE"
Russia,Total,2019,10847000,barrels_per_day,Country_Total,"TheGlobalEconomy.com"
China,PetroChina,2024,942,million_barrels_annual,Oil_Production,"Enerdata"
China,PetroChina,2024,5134,billion_cubic_feet_annual,Gas_Production,"Enerdata"
China,Total,2024,4300000,barrels_per_day,Country_Total,"EIA; China Daily"
Zambia,ZCCM,1969,825000,tonnes_copper,Peak_Production,"SciELO"
Zambia,Total,1996,334000,tonnes_copper,Country_Total,"USGS Minerals Yearbook 2000"
Zambia,Total,2000,241200,tonnes_copper,Country_Total,"USGS Minerals Yearbook 2000"
Zambia,Total,2019,796000,tonnes_copper,Country_Total,"USGS Minerals Yearbook 2019"
Venezuela,PDVSA,1998,3450000,barrels_per_day,Company_Estimate,"Multiple sources"
Venezuela,PDVSA,2000,3200000,barrels_per_day,Company_Estimate,"Multiple sources"
Venezuela,PDVSA,2019,830000,barrels_per_day,Company_Collapsed,"Multiple sources"
Mexico,PEMEX,2006,3710000,barrels_per_day,Company_Production,"Multiple sources"
Mexico,PEMEX,2013,2520000,barrels_per_day,Company_Production,"Multiple sources"
Mexico,PEMEX,2020,1690000,barrels_per_day,Company_Production,"Multiple sources"
